analysis,subject,epoch_num,count,ratio
for_rsa,sub01,0,77,70
for_rsa,sub01,1,178,58
for_rsa,sub01,2,208,51
for_rsa,sub01,3,191,55
for_rsa,sub01,4,201,53
for_rsa,sub02,0,124,51
for_rsa,sub02,1,216,49
for_rsa,sub02,2,242,43
for_rsa,sub02,3,237,44
for_rsa,sub02,4,232,45
for_rsa,sub03,0,106,58
for_rsa,sub03,1,217,49
for_rsa,sub03,2,221,48
for_rsa,sub03,3,228,46
for_rsa,sub03,4,228,46
for_rsa,sub04,0,150,41
for_rsa,sub04,1,239,44
for_rsa,sub04,2,249,41
for_rsa,sub04,3,260,39
for_rsa,sub04,4,242,43
for_rsa,sub05,0,205,20
for_rsa,sub05,1,242,43
for_rsa,sub05,2,247,42
for_rsa,sub05,3,245,42
for_rsa,sub05,4,233,45
for_rsa,sub06,0,100,61
for_rsa,sub06,1,204,52
for_rsa,sub06,2,220,48
for_rsa,sub06,3,225,47
for_rsa,sub06,4,242,43
for_rsa,sub07,0,133,48
for_rsa,sub07,1,243,43
for_rsa,sub07,2,251,41
for_rsa,sub07,3,238,44
for_rsa,sub07,4,228,46
for_rsa,sub08,0,151,41
for_rsa,sub08,1,235,45
for_rsa,sub08,2,252,41
for_rsa,sub08,3,240,44
for_rsa,sub08,4,253,40
for_rsa,sub09,0,135,47
for_rsa,sub09,1,220,48
for_rsa,sub09,2,224,47
for_rsa,sub09,3,218,49
for_rsa,sub09,4,220,48
for_rsa,sub10,0,142,44
for_rsa,sub10,1,245,42
for_rsa,sub10,2,246,42
for_rsa,sub10,3,247,42
for_rsa,sub10,4,248,42
for_rsa,sub11,0,127,50
for_rsa,sub11,1,277,35
for_rsa,sub11,2,281,34
for_rsa,sub11,3,303,29
for_rsa,sub11,4,313,26
for_rsa,sub12,0,108,58
for_rsa,sub12,1,256,40
for_rsa,sub12,2,229,46
for_rsa,sub12,3,231,46
for_rsa,sub12,4,243,43
for_rsa,sub13,0,131,49
for_rsa,sub13,1,227,47
for_rsa,sub13,2,233,45
for_rsa,sub13,3,239,44
for_rsa,sub13,4,237,44
for_rsa,sub14,0,134,47
for_rsa,sub14,1,232,45
for_rsa,sub14,2,246,42
for_rsa,sub14,3,233,45
for_rsa,sub14,4,225,47
for_rsa,sub15,0,131,49
for_rsa,sub15,1,202,52
for_rsa,sub15,2,239,44
for_rsa,sub15,3,222,48
for_rsa,sub15,4,220,48
for_rsa2,sub01,0,77,70
for_rsa2,sub01,1,178,58
for_rsa2,sub01,2,208,51
for_rsa2,sub01,3,190,55
for_rsa2,sub01,4,201,53
for_rsa2,sub02,0,124,51
for_rsa2,sub02,1,216,49
for_rsa2,sub02,2,242,43
for_rsa2,sub02,3,237,44
for_rsa2,sub02,4,232,45
for_rsa2,sub03,0,106,58
for_rsa2,sub03,1,217,49
for_rsa2,sub03,2,221,48
for_rsa2,sub03,3,228,46
for_rsa2,sub03,4,228,46
for_rsa2,sub04,0,150,41
for_rsa2,sub04,1,239,44
for_rsa2,sub04,2,249,41
for_rsa2,sub04,3,260,39
for_rsa2,sub04,4,242,43
for_rsa2,sub05,0,205,20
for_rsa2,sub05,1,242,43
for_rsa2,sub05,2,247,42
for_rsa2,sub05,3,245,42
for_rsa2,sub05,4,233,45
for_rsa2,sub06,0,100,61
for_rsa2,sub06,1,204,52
for_rsa2,sub06,2,220,48
for_rsa2,sub06,3,225,47
for_rsa2,sub06,4,242,43
for_rsa2,sub07,0,133,48
for_rsa2,sub07,1,243,43
for_rsa2,sub07,2,251,41
for_rsa2,sub07,3,238,44
for_rsa2,sub07,4,228,46
for_rsa2,sub08,0,151,41
for_rsa2,sub08,1,235,45
for_rsa2,sub08,2,252,41
for_rsa2,sub08,3,240,44
for_rsa2,sub08,4,253,40
for_rsa2,sub09,0,135,47
for_rsa2,sub09,1,220,48
for_rsa2,sub09,2,224,47
for_rsa2,sub09,3,218,49
for_rsa2,sub09,4,220,48
for_rsa2,sub10,0,142,44
for_rsa2,sub10,1,245,42
for_rsa2,sub10,2,246,42
for_rsa2,sub10,3,247,42
for_rsa2,sub10,4,248,42
for_rsa2,sub11,0,127,50
for_rsa2,sub11,1,277,35
for_rsa2,sub11,2,281,34
for_rsa2,sub11,3,303,29
for_rsa2,sub11,4,313,26
for_rsa2,sub12,0,108,58
for_rsa2,sub12,1,256,40
for_rsa2,sub12,2,229,46
for_rsa2,sub12,3,231,46
for_rsa2,sub12,4,243,43
for_rsa2,sub13,0,131,49
for_rsa2,sub13,1,227,47
for_rsa2,sub13,2,233,45
for_rsa2,sub13,3,239,44
for_rsa2,sub13,4,237,44
for_rsa2,sub14,0,134,47
for_rsa2,sub14,1,232,45
for_rsa2,sub14,2,246,42
for_rsa2,sub14,3,233,45
for_rsa2,sub14,4,225,47
for_rsa2,sub15,0,131,49
for_rsa2,sub15,1,202,52
for_rsa2,sub15,2,239,44
for_rsa2,sub15,3,222,48
for_rsa2,sub15,4,220,48
for_rsa3,sub01,0,127,50
for_rsa3,sub01,1,294,31
for_rsa3,sub01,2,325,24
for_rsa3,sub01,3,327,23
for_rsa3,sub01,4,316,26
for_rsa3,sub02,0,181,29
for_rsa3,sub02,1,367,14
for_rsa3,sub02,2,377,11
for_rsa3,sub02,3,378,11
for_rsa3,sub02,4,371,13
for_rsa3,sub03,0,171,33
for_rsa3,sub03,1,346,19
for_rsa3,sub03,2,359,16
for_rsa3,sub03,3,377,11
for_rsa3,sub03,4,394,7
for_rsa3,sub04,0,236,7
for_rsa3,sub04,1,399,6
for_rsa3,sub04,2,404,5
for_rsa3,sub04,3,411,3
for_rsa3,sub04,4,396,7
for_rsa3,sub05,0,205,20
for_rsa3,sub05,1,382,10
for_rsa3,sub05,2,371,13
for_rsa3,sub05,3,388,9
for_rsa3,sub05,4,391,8
for_rsa3,sub06,0,149,42
for_rsa3,sub06,1,329,23
for_rsa3,sub06,2,362,15
for_rsa3,sub06,3,369,13
for_rsa3,sub06,4,375,12
for_rsa3,sub07,0,218,15
for_rsa3,sub07,1,370,13
for_rsa3,sub07,2,377,11
for_rsa3,sub07,3,384,10
for_rsa3,sub07,4,375,12
for_rsa3,sub08,0,230,10
for_rsa3,sub08,1,393,8
for_rsa3,sub08,2,406,4
for_rsa3,sub08,3,394,7
for_rsa3,sub08,4,401,6
for_rsa3,sub09,0,197,23
for_rsa3,sub09,1,339,20
for_rsa3,sub09,2,357,16
for_rsa3,sub09,3,341,20
for_rsa3,sub09,4,365,14
for_rsa3,sub10,0,224,12
for_rsa3,sub10,1,376,12
for_rsa3,sub10,2,395,7
for_rsa3,sub10,3,389,8
for_rsa3,sub10,4,388,9
for_rsa3,sub11,0,189,26
for_rsa3,sub11,1,277,35
for_rsa3,sub11,2,281,34
for_rsa3,sub11,3,303,29
for_rsa3,sub11,4,313,26
for_rsa3,sub12,0,186,27
for_rsa3,sub12,1,386,9
for_rsa3,sub12,2,378,11
for_rsa3,sub12,3,391,8
for_rsa3,sub12,4,397,7
for_rsa3,sub13,0,219,14
for_rsa3,sub13,1,370,13
for_rsa3,sub13,2,390,8
for_rsa3,sub13,3,389,8
for_rsa3,sub13,4,384,10
for_rsa3,sub14,0,200,22
for_rsa3,sub14,1,371,13
for_rsa3,sub14,2,393,8
for_rsa3,sub14,3,373,12
for_rsa3,sub14,4,373,12
for_rsa3,sub15,0,201,21
for_rsa3,sub15,1,330,22
for_rsa3,sub15,2,360,15
for_rsa3,sub15,3,374,12
for_rsa3,sub15,4,380,11
for_rsa4,sub01,0,127,50
for_rsa4,sub01,1,294,31
for_rsa4,sub01,2,325,24
for_rsa4,sub01,3,325,24
for_rsa4,sub01,4,316,26
for_rsa4,sub02,0,181,29
for_rsa4,sub02,1,367,14
for_rsa4,sub02,2,377,11
for_rsa4,sub02,3,378,11
for_rsa4,sub02,4,371,13
for_rsa4,sub03,0,171,33
for_rsa4,sub03,1,346,19
for_rsa4,sub03,2,359,16
for_rsa4,sub03,3,377,11
for_rsa4,sub03,4,394,7
for_rsa4,sub04,0,236,7
for_rsa4,sub04,1,399,6
for_rsa4,sub04,2,404,5
for_rsa4,sub04,3,411,3
for_rsa4,sub04,4,396,7
for_rsa4,sub05,0,205,20
for_rsa4,sub05,1,382,10
for_rsa4,sub05,2,371,13
for_rsa4,sub05,3,388,9
for_rsa4,sub05,4,391,8
for_rsa4,sub06,0,149,42
for_rsa4,sub06,1,329,23
for_rsa4,sub06,2,362,15
for_rsa4,sub06,3,369,13
for_rsa4,sub06,4,375,12
for_rsa4,sub07,0,218,15
for_rsa4,sub07,1,370,13
for_rsa4,sub07,2,377,11
for_rsa4,sub07,3,384,10
for_rsa4,sub07,4,375,12
for_rsa4,sub08,0,230,10
for_rsa4,sub08,1,393,8
for_rsa4,sub08,2,406,4
for_rsa4,sub08,3,394,7
for_rsa4,sub08,4,401,6
for_rsa4,sub09,0,197,23
for_rsa4,sub09,1,339,20
for_rsa4,sub09,2,357,16
for_rsa4,sub09,3,341,20
for_rsa4,sub09,4,365,14
for_rsa4,sub10,0,224,12
for_rsa4,sub10,1,376,12
for_rsa4,sub10,2,395,7
for_rsa4,sub10,3,389,8
for_rsa4,sub10,4,388,9
for_rsa4,sub11,0,189,26
for_rsa4,sub11,1,277,35
for_rsa4,sub11,2,281,34
for_rsa4,sub11,3,303,29
for_rsa4,sub11,4,315,26
for_rsa4,sub12,0,186,27
for_rsa4,sub12,1,386,9
for_rsa4,sub12,2,378,11
for_rsa4,sub12,3,391,8
for_rsa4,sub12,4,397,7
for_rsa4,sub13,0,219,14
for_rsa4,sub13,1,370,13
for_rsa4,sub13,2,390,8
for_rsa4,sub13,3,389,8
for_rsa4,sub13,4,384,10
for_rsa4,sub14,0,200,22
for_rsa4,sub14,1,371,13
for_rsa4,sub14,2,393,8
for_rsa4,sub14,3,373,12
for_rsa4,sub14,4,373,12
for_rsa4,sub15,0,201,21
for_rsa4,sub15,1,330,22
for_rsa4,sub15,2,360,15
for_rsa4,sub15,3,374,12
for_rsa4,sub15,4,380,11
