analysis	subject	epoch_num	count	drop ratio (%)
for_timeg_new	sub01	0	251	2
for_timeg_new	sub01	1	289	32
for_timeg_new	sub01	2	424	0
for_timeg_new	sub01	3	425	0
for_timeg_new	sub01	4	424	0
for_timeg_new	sub02	0	252	1
for_timeg_new	sub02	1	425	0
for_timeg_new	sub02	2	425	0
for_timeg_new	sub02	3	425	0
for_timeg_new	sub02	4	423	0
for_timeg_new	sub03	0	252	1
for_timeg_new	sub03	1	420	1
for_timeg_new	sub03	2	310	27
for_timeg_new	sub03	3	407	4
for_timeg_new	sub03	4	422	1
for_timeg_new	sub04	0	185	27
for_timeg_new	sub04	1	425	0
for_timeg_new	sub04	2	257	40
for_timeg_new	sub04	3	251	41
for_timeg_new	sub04	4	320	25
for_timeg_new	sub05	0	198	22
for_timeg_new	sub05	1	415	2
for_timeg_new	sub05	2	423	0
for_timeg_new	sub05	3	425	0
for_timeg_new	sub05	4	425	0
for_timeg_new	sub06	0	235	8
for_timeg_new	sub06	1	403	5
for_timeg_new	sub06	2	400	6
for_timeg_new	sub06	3	424	0
for_timeg_new	sub06	4	424	0
for_timeg_new	sub07	0	142	44
for_timeg_new	sub07	1	412	3
for_timeg_new	sub07	2	425	0
for_timeg_new	sub07	3	422	1
for_timeg_new	sub07	4	406	4
for_timeg_new	sub08	0	251	2
for_timeg_new	sub08	1	425	0
for_timeg_new	sub08	2	409	4
for_timeg_new	sub08	3	423	0
for_timeg_new	sub08	4	424	0
for_timeg_new	sub09	0	248	3
for_timeg_new	sub09	1	423	0
for_timeg_new	sub09	2	425	0
for_timeg_new	sub09	3	423	0
for_timeg_new	sub09	4	422	1
for_timeg_new	sub10	0	252	1
for_timeg_new	sub10	1	425	0
for_timeg_new	sub10	2	423	0
for_timeg_new	sub10	3	425	0
for_timeg_new	sub10	4	423	0
for_timeg_new	sub11	0	252	1
for_timeg_new	sub11	1	397	7
for_timeg_new	sub11	2	393	8
for_timeg_new	sub11	3	379	11
for_timeg_new	sub11	4	398	6
for_timeg_new	sub12	0	252	1
for_timeg_new	sub12	1	368	13
for_timeg_new	sub12	2	347	18
for_timeg_new	sub12	3	349	18
for_timeg_new	sub12	4	361	15
for_timeg_new	sub13	0	252	1
for_timeg_new	sub13	1	425	0
for_timeg_new	sub13	2	424	0
for_timeg_new	sub13	3	423	0
for_timeg_new	sub13	4	424	0
for_timeg_new	sub14	0	252	1
for_timeg_new	sub14	1	425	0
for_timeg_new	sub14	2	425	0
for_timeg_new	sub14	3	423	0
for_timeg_new	sub14	4	425	0
for_timeg_new	sub15	0	235	8
for_timeg_new	sub15	1	408	4
for_timeg_new	sub15	2	415	2
for_timeg_new	sub15	3	419	1
for_timeg_new	sub15	4	424	0
for_rsa_new	sub01	0	251	2
for_rsa_new	sub01	1	422	1
for_rsa_new	sub01	2	424	0
for_rsa_new	sub01	3	425	0
for_rsa_new	sub01	4	424	0
for_rsa_new	sub02	0	252	1
for_rsa_new	sub02	1	425	0
for_rsa_new	sub02	2	425	0
for_rsa_new	sub02	3	425	0
for_rsa_new	sub02	4	423	0
for_rsa_new	sub03	0	252	1
for_rsa_new	sub03	1	425	0
for_rsa_new	sub03	2	425	0
for_rsa_new	sub03	3	424	0
for_rsa_new	sub03	4	423	0
for_rsa_new	sub04	0	252	1
for_rsa_new	sub04	1	425	0
for_rsa_new	sub04	2	420	1
for_rsa_new	sub04	3	424	0
for_rsa_new	sub04	4	422	1
for_rsa_new	sub05	0	255	0
for_rsa_new	sub05	1	425	0
for_rsa_new	sub05	2	424	0
for_rsa_new	sub05	3	425	0
for_rsa_new	sub05	4	425	0
for_rsa_new	sub06	0	251	2
for_rsa_new	sub06	1	424	0
for_rsa_new	sub06	2	425	0
for_rsa_new	sub06	3	424	0
for_rsa_new	sub06	4	424	0
for_rsa_new	sub07	0	252	1
for_rsa_new	sub07	1	419	1
for_rsa_new	sub07	2	425	0
for_rsa_new	sub07	3	422	1
for_rsa_new	sub07	4	420	1
for_rsa_new	sub08	0	252	1
for_rsa_new	sub08	1	425	0
for_rsa_new	sub08	2	422	1
for_rsa_new	sub08	3	423	0
for_rsa_new	sub08	4	424	0
for_rsa_new	sub09	0	252	1
for_rsa_new	sub09	1	425	0
for_rsa_new	sub09	2	425	0
for_rsa_new	sub09	3	423	0
for_rsa_new	sub09	4	422	1
for_rsa_new	sub10	0	252	1
for_rsa_new	sub10	1	425	0
for_rsa_new	sub10	2	423	0
for_rsa_new	sub10	3	425	0
for_rsa_new	sub10	4	425	0
for_rsa_new	sub11	0	255	0
for_rsa_new	sub11	1	397	7
for_rsa_new	sub11	2	393	8
for_rsa_new	sub11	3	396	7
for_rsa_new	sub11	4	398	6
for_rsa_new	sub12	0	252	1
for_rsa_new	sub12	1	425	0
for_rsa_new	sub12	2	423	0
for_rsa_new	sub12	3	422	1
for_rsa_new	sub12	4	425	0
for_rsa_new	sub13	0	252	1
for_rsa_new	sub13	1	425	0
for_rsa_new	sub13	2	424	0
for_rsa_new	sub13	3	423	0
for_rsa_new	sub13	4	424	0
for_rsa_new	sub14	0	252	1
for_rsa_new	sub14	1	425	0
for_rsa_new	sub14	2	425	0
for_rsa_new	sub14	3	423	0
for_rsa_new	sub14	4	425	0
for_rsa_new	sub15	0	250	2
for_rsa_new	sub15	1	408	4
for_rsa_new	sub15	2	415	2
for_rsa_new	sub15	3	419	1
for_rsa_new	sub15	4	424	0
